City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,puerto morazan,12.8504,-87.1717,28.63,72,74,2.03,NI,1713493014
293,qamdo,31.1667,97.2333,5.08,37,100,1.28,CN,1713493015
294,tazacorte,28.629,-17.9293,18.54,70,0,3.13,ES,1713493016
295,carambei,-24.9178,-50.0972,11.2,65,0,1.41,BR,1713493017
296,tazovsky,67.4667,78.7,-17.58,93,100,8.82,RU,1713493019
297,ninghai,29.2892,121.4247,16.11,63,100,3.36,CN,1713493020
298,choyr,46.3611,108.3611,7.6,22,99,3.63,MN,1713493021
299,aberdeen,57.1437,-2.0981,7.33,85,100,7.72,GB,1713493022
300,mili,6.0815,171.735,28.39,82,17,8.71,MH,1713493023
301,anori,-3.7728,-61.6442,24.47,96,100,0.13,BR,1713493024
302,saint-pierre,-21.3393,55.4781,21.82,64,75,3.09,RE,1713493025
303,horta,38.5333,-28.6333,16.12,93,33,5.81,PT,1713493027
304,dazhou,31.2159,107.5009,18.88,93,100,0.71,CN,1713493028
305,nishifukuma,33.7667,130.4667,26.27,47,58,1.85,JP,1713493029
306,hobyo,5.3505,48.5268,28.86,69,100,2.74,SO,1713493030
307,stephenville,32.2207,-98.2023,22.64,53,75,4.12,US,1713493007
308,clarence town,-32.5833,151.7833,22.3,42,35,1.78,AU,1713493032
309,coronel du graty,-27.6804,-60.9146,15.57,69,99,3.85,AR,1713493033
310,dzhalagash,45.0833,64.6667,19.19,47,28,7.24,KZ,1713493035
311,akjoujt,19.6969,-14.4164,28.39,8,41,4.35,MR,1713493036
312,kavieng,-2.5744,150.7967,29.69,67,4,1.23,PG,1713493037
313,wixom,42.5248,-83.5363,15.55,67,100,1.54,US,1713492910
314,fort-shevchenko,44.5086,50.263,17.94,40,0,8.15,KZ,1713493039
315,borogontsy,62.6683,131.1683,-1.05,99,82,1.68,RU,1713493040
316,zeya,53.75,127.2667,3.05,80,100,1.38,RU,1713493041
317,roswell,34.0232,-84.3616,24.28,74,0,3.09,US,1713493043
318,acarau,-2.8856,-40.12,26.02,89,100,2.37,BR,1713493044
319,kot samaba,28.5522,70.4684,24.34,45,0,6.06,PK,1713493045
320,santa isabel,-23.3156,-46.2214,17.84,88,100,1.65,BR,1713493046
321,illizi,26.4833,8.4667,20.89,15,0,0.56,DZ,1713493047
322,huntingdon,52.3305,-0.1865,10.39,88,100,3.13,GB,1713493049
323,lusambo,-4.9667,23.45,22.16,95,85,0.93,CD,1713493051
324,syzran',53.1585,48.4681,14.61,63,100,4.07,RU,1713492778
325,parsons,37.3403,-95.2611,12.16,82,99,8.46,US,1713493053
326,coquimbo,-29.9533,-71.3436,15.73,87,2,2.44,CL,1713493054
327,ust'-ilimsk,58.0006,102.6619,6.91,83,79,2.24,RU,1713493055
328,severo-yeniseyskiy,60.3725,93.0408,-0.24,93,100,2.24,RU,1713493056
329,buka,40.8108,69.1986,16.29,68,99,1.49,UZ,1713493057
330,gizo,-8.103,156.8419,29.76,72,28,2.89,SB,1713493059
331,honefoss,60.168,10.2565,1.75,93,100,0.97,NO,1713493060
332,norilsk,69.3535,88.2027,-1.43,96,100,3.07,RU,1713493061
333,culpeper,38.5004,-77.9664,17.67,72,0,0.0,US,1713493062
334,callao,-12.0667,-77.15,22.07,77,0,3.6,PE,1713492992
335,sake,-1.5736,29.045,17.99,97,45,1.12,CD,1713493064
336,whakatane,-37.9585,176.9854,22.16,76,100,1.73,NZ,1713493065
337,pundong,-7.9522,110.3486,29.31,72,39,4.69,ID,1713493067
338,paramonga,-10.6667,-77.8333,20.82,83,29,3.15,PE,1713493068
339,bel ombre,-4.6167,55.4167,26.91,89,20,1.03,SC,1713493069
340,mondlo,-27.983,30.7177,13.66,83,0,1.89,ZA,1713493070
341,bathsheba,13.2167,-59.5167,28.34,83,40,6.17,BB,1713493071
342,tolanaro,-25.0319,46.9987,21.06,82,100,5.09,MG,1713493072
343,wagar,16.1525,36.2032,26.9,28,10,4.63,SD,1713493073
344,salmas,38.1973,44.7653,13.14,49,0,3.14,IR,1713493074
345,shizunai-furukawacho,42.3339,142.3669,5.86,95,100,1.91,JP,1713493076
346,altay,47.8667,88.1167,10.12,41,100,0.68,CN,1713493077
347,angra dos reis,-23.0067,-44.3181,20.45,82,100,1.8,BR,1713493078
348,as safirah,36.077,37.3725,16.29,90,1,5.58,SY,1713493079
349,shumikha,55.2261,63.2961,12.59,89,74,1.88,RU,1713493081
350,wynyard,-41.0,145.7167,16.03,46,0,2.53,AU,1713493082
351,pocito,-31.6833,-68.5833,21.3,30,3,0.9,AR,1713493083
352,ust-tsilma,65.441,52.1498,-18.55,98,32,1.34,RU,1713493084
353,punta arenas,-53.15,-70.9167,8.06,93,100,8.23,CL,1713493085
354,brisas de zicatela,15.8369,-97.0419,28.29,89,20,3.09,MX,1713493086
355,bereznik,62.8551,42.7072,-6.62,94,64,1.63,RU,1713493088
356,luebo,-5.35,21.4167,22.42,96,100,0.68,CD,1713493089
357,birjand,32.8663,59.2211,9.91,67,10,1.41,IR,1713493090
358,remire-montjoly,4.9167,-52.2667,25.02,100,75,1.03,GF,1713493091
359,alagir,43.0422,44.2222,9.3,57,14,3.12,RU,1713493093
360,safi,32.1667,-8.8333,17.75,57,75,2.29,MA,1713493094
361,bengkulu,-3.8004,102.2655,25.41,93,100,1.53,ID,1713493095
362,al kharijah,25.4514,30.5464,21.55,32,0,4.27,EG,1713493096
